objid,ra,dec,z,zerr,class,subclass,plate,mjd,fiberid,dist_comov,x,y,z_coord
1237667254552297650,184.025109084882,30.4042880373691,0.1295973,9.873138e-06,GALAXY,STARFORMING,2232,53827,345,556.4854209551719,-478.7713409902908,-33.68980087939305,281.6363330586457
1237667255089168452,184.01461486966,30.7874918025279,0.04432301,1.349263e-05,GALAXY,,2232,53827,346,194.34087461758816,-166.54307325290472,-11.68851605670916,99.47441324782359
1237667255089234025,184.088739069723,30.7086842620358,0.09475117,2.063921e-05,GALAXY,,2232,53827,348,410.3916009054652,-351.9463351515634,-25.15830091348515,209.57600807888434
1237667254552363171,184.121424052663,30.3929833161249,0.04171944,1.033765e-05,GALAXY,STARFORMING,2232,53827,353,183.03922587363496,-157.47688186054137,-11.347271189104903,92.60469385760946
1237667212139692166,184.159983265567,30.4833883875424,0.2156084,3.766839e-05,GALAXY,BROADLINE,2232,53827,354,905.7568455827418,-778.5032848208792,-56.62307815755754,459.4800603541605
1237667211602821223,184.052820341715,30.1010785609598,0.1008273,7.991351e-06,GALAXY,STARFORMING,2232,53827,357,436.05526436643555,-376.30633337093127,-26.66253372142633,218.69349862801448
1237667211602821211,184.033897659876,30.1460131170449,0.1055226,8.339622e-06,GALAXY,STARFORMING,2232,53827,358,455.83210026712624,-393.20353462111495,-27.729246166480813,228.92132470008082
1237665442585379055,184.07407455771,30.4165094457893,0.02390872,5.599615e-06,GALAXY,STARBURST,2232,53827,359,105.34250043597602,-90.61442292973582,-6.454111654789611,53.333040396756715
1237667255089692812,185.438060227281,30.8273520978907,0.05120715,1.469243e-05,GALAXY,STARFORMING,2232,53827,362,224.1545651113932,-191.61863723783122,-18.24172737147526,114.86864805463246
1237667255626563658,185.278198811731,31.0591016704963,0.1748182,3.081472e-05,GALAXY,STARFORMING,2232,53827,365,742.1356521069746,-633.0441189941879,-58.482788133749686,382.8840986868218
1237667212677021750,185.26621936233,30.8633468281425,0.07282257,1.571294e-05,GALAXY,,2232,53827,367,317.11085113532704,-271.05682999318566,-24.984004771773954,162.6754017280448
1237667255626498066,185.115069849714,31.1721143728704,0.02243663,7.804447e-06,GALAXY,STARBURST,2232,53827,368,98.8908872251088,-84.27569591559558,-7.543748631180908,51.18697598706932
1237667212677021744,185.2497425425,30.9680299881987,0.03928639,8.322485e-06,GALAXY,STARFORMING,2232,53827,369,172.46481974994188,-147.26043464181154,-13.530665758297676,88.74344778417121
1237665328778707097,185.199292765515,31.4215284639302,0.05983157,5.614593e-06,GALAXY,STARBURST,2232,53827,370,261.3629933108442,-222.1177343727587,-20.211532933533242,136.25645043811218
1237667212676956244,185.106290180632,30.9945339702353,0.1039749,2.534842e-05,GALAXY,,2232,53827,371,449.3183784669,-383.6345003127613,-34.2809199638148,231.37932907746298
1237665328778641431,185.042996786293,31.3601448506137,0.1771785,3.253324e-05,GALAXY,,2232,53827,372,751.7028846280002,-639.4041269335991,-56.42414866234604,391.198037656208
1237667255626432603,184.969314859144,31.1895383353168,0.1181323,3.087603e-05,GALAXY,,2232,53827,373,508.7085560943992,-433.54348986114604,-37.69618708789106,263.44531675795946
1237667212676956217,185.056437778476,30.9092113396055,0.1747366,3.480514e-05,GALAXY,,2232,53827,375,741.8046767559847,-633.9784553417767,-56.095246835351674,381.0496291849485
1237667212676956201,185.056511143489,30.9356491046692,0.1751159,4.081102e-05,GALAXY,,2232,53827,376,743.3430206607989,-635.1175460123013,-56.1968546849475,382.13408986369166
1237667255626432633,185.014694400487,31.2463342944745,0.1191042,1.834273e-05,GALAXY,,2232,53827,377,512.7697283124646,-436.71192624093305,-38.320204214493515,265.98317559863085
1237667212677087303,185.402990639132,30.9610048198067,0.06761713,1.81418e-05,GALAXY,,2232,53827,378,294.8162120560578,-251.68687831032446,-23.804669369772096,151.66954834007447
1237667212677021734,185.218730474843,30.9746843939396,0.1583647,2.58698e-05,GALAXY,,2232,53827,379,675.1043256295947,-576.4315078766474,-52.64938346280012,347.4487151103475
1237667212677087324,185.4510307754,30.9906758726699,0.1358989,2.481339e-05,GALAXY,AGN,2232,53827,380,582.6236478287801,-497.19610740911224,-47.44569457972794,299.9920863162695
1237667212139757680,184.234311013847,30.5518366588227,0.00383067,3.831849e-05,GALAXY,,2232,53827,381,16.958003150186613,-14.563855541131996,-1.0782715377081786,8.620052964439745
1237667212139823185,184.394253573105,30.5364400673726,0.06319099,1.118435e-05,GALAXY,AGN,2232,53827,384,275.81371198940417,-236.86173639255205,-18.201621038598194,140.13715619366062
1237667255089299596,184.274422101535,30.6574126738602,0.1834209,2.836261e-05,GALAXY,,2232,53827,386,776.9469977602425,-666.4952695404356,-49.81482308095557,396.1681163474537
1237667323794227424,185.930673466208,28.1183824366945,0.3456299,7.245664e-05,GALAXY,,5976,56356,760,1403.0270147713309,-1230.8125427978853,-127.85809617901083,661.2394391678669
1237667444045251046,186.098252198561,28.3188945470585,0.663859,0.0001483671,GALAXY,,5976,56356,761,2470.4766464006166,-2162.505523950957,-231.0384514696511,1171.9411048491038
1237667444045251165,186.154111607783,28.2969431229658,0.66754,0.0001282988,GALAXY,,5976,56356,763,2481.6596801185938,-2172.515448781515,-234.25034698758785,1176.4090137652681
1237667444582121922,186.115824133327,28.5882883919794,0.3382963,0.0001228817,GALAXY,,5976,56356,764,1375.9567251899578,-1201.3247812311695,-128.72016793258868,658.412331265721
1237667324331164136,186.096556269303,28.4481713955303,0.5866293,0.0001377669,GALAXY,,5976,56356,765,2229.974838492725,-1949.6126833404735,-208.23497242772686,1062.2788529979493
1237667444045251160,186.150525153737,28.2293519018633,0.3994747,0.0001329616,GALAXY,,5976,56356,767,1598.2545472502131,-1400.0545765108343,-150.87150037204995,755.977890531554
1237667444045250797,186.10756789346,28.1520752771083,0.4792171,0.0001063072,GALAXY,,5976,56356,769,1876.1489317399355,-1644.8081314582328,-175.99901900775228,885.192278584764
1237667444045251005,186.08136252614,28.3068526802785,0.5062372,0.0001304793,GALAXY,,5976,56356,775,1967.3334302385401,-1722.333609377199,-183.49773552338752,932.8967492716647
